artist_name,artist_id,genre
Camilo,28gNT5KBp7IjEOQoevXf9N,latin pop
Camilo,28gNT5KBp7IjEOQoevXf9N,latin viral pop
Camilo,28gNT5KBp7IjEOQoevXf9N,reggaeton colombiano
Mesita,2IKdK6PbitvCiXt1t2bPU6,rap uruguayo
Sabrina Carpenter,74KM79TiuVKeVCqs8QtB0B,pop
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,reggaeton
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,reggaeton colombiano
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,trap latino
J Balvin,1vyhD5VmyZ7KMfW5gqLgo5,urbano latino
Big One,2OhUNb01gLwygOizYvTm0e,trap argentino
Anuel AA,2R21vXR83lH98kGeO99Y66,reggaeton
Anuel AA,2R21vXR83lH98kGeO99Y66,reggaeton flow
Anuel AA,2R21vXR83lH98kGeO99Y66,trap boricua
Anuel AA,2R21vXR83lH98kGeO99Y66,trap latino
Anuel AA,2R21vXR83lH98kGeO99Y66,urbano latino
Marc Seguí,5FQ8tBUtIamA2hRtatrYUF,spanish pop
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,reggaeton
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,trap latino
Jay Wheeler,2cPqdH7XMvwaBJEVjheH8g,urbano latino
Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,gruperas inmortales
Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,musica mexicana
Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,nu-cumbia
Los Ángeles Azules,0ZCO8oVkMj897cKgFH7fRW,ranchera
